,id,participant,song
10039,10039,23,2
12191,12191,23,2
6339,6339,23,2
11606,11606,23,2
4539,4539,23,2
7239,7239,24,0
4076,4076,24,0
4497,4497,24,1
8217,8217,24,1
873,873,24,2
2903,2903,25,1
7329,7329,25,2
12392,12392,26,0
12680,12680,26,0
14178,14178,26,0
11289,11289,26,0
13031,13031,26,0
11541,11541,26,0
8626,8626,26,0
5637,5637,26,0
1611,1611,26,0
13643,13643,26,0
2623,2623,26,0
2170,2170,26,0
11979,11979,26,0
14805,14805,26,0
5792,5792,26,0
14645,14645,26,1
11217,11217,26,1
13927,13927,26,1
12813,12813,26,1
15600,15600,26,1
6148,6148,26,1
10898,10898,26,1
9863,9863,26,1
2654,2654,26,1
10083,10083,26,1
13459,13459,26,1
13158,13158,26,1
12511,12511,26,1
581,581,26,1
7250,7250,26,1
11930,11930,26,1
2423,2423,26,2
7778,7778,26,2
664,664,26,2
9666,9666,26,2
11210,11210,26,2
12930,12930,26,2
4754,4754,26,2
7020,7020,26,2
12236,12236,27,2
204,204,28,0
531,531,28,0
5344,5344,28,0
1182,1182,28,0
7543,7543,28,0
24856,24856,28,1
898,898,28,1
15418,15418,28,1
3889,3889,28,1
8475,8475,28,1
5060,5060,28,2
15859,15859,28,2
4422,4422,28,2
14183,14183,28,2
6559,6559,28,2
11127,11127,28,2
4649,4649,29,0
7716,7716,29,0
6113,6113,29,1
15789,15789,29,1
8691,8691,29,1
7225,7225,29,1
19066,19066,29,2
10441,10441,29,2
7882,7882,29,2
15133,15133,29,2
2355,2355,29,2
10030,10030,29,2
20050,20050,29,2
12494,12494,29,2
7522,7522,29,2
4960,4960,29,2
15493,15493,29,2
2118,2118,29,2
5287,5287,29,2
2745,2745,29,2
5200,5200,30,0
13792,13792,30,0
11839,11839,30,0
8620,8620,30,0
416,416,30,0
7264,7264,30,0
11756,11756,30,0
10986,10986,30,0
2862,2862,30,0
2968,2968,30,1
4169,4169,30,1
12045,12045,30,1
6683,6683,30,1
9452,9452,30,1
5943,5943,30,1
13537,13537,30,1
9377,9377,30,2
3100,3100,30,2
279,279,30,2
10830,10830,30,2
3860,3860,30,2
5962,5962,30,2
2210,2210,30,2
6791,6791,30,2
11040,11040,31,0
1273,1273,31,0
546,546,31,0
4102,4102,31,0
15052,15052,31,1
3367,3367,31,1
1055,1055,31,1
442,442,31,1
6985,6985,31,1
2488,2488,31,2
7170,7170,31,2
657,657,31,2
1422,1422,31,2
6575,6575,32,0
8540,8540,32,0
3621,3621,32,0
6251,6251,32,0
10359,10359,32,0
15214,15214,32,1
17477,17477,32,1
19565,19565,32,1
19726,19726,32,1
19183,19183,32,1
21572,21572,32,1
17281,17281,32,1
17115,17115,32,1
14653,14653,32,1
18110,18110,32,1
21404,21404,32,1
15405,15405,32,1
8401,8401,32,1
8729,8729,32,1
9411,9411,32,1
8191,8191,32,1
16242,16242,32,1
7590,7590,32,1
19334,19334,32,1
20126,20126,32,1
12765,12765,32,2
3130,3130,32,2
9806,9806,32,2
1494,1494,32,2
2062,2062,32,2
7405,7405,32,2
4664,4664,32,2
3523,3523,32,2
12133,12133,32,2
4382,4382,32,2
2678,2678,32,2
11279,11279,32,2
4216,4216,32,2
15858,15858,32,2
3328,3328,32,2
5004,5004,32,2
5587,5587,32,2
3018,3018,32,2
2272,2272,32,2
10034,10034,32,2
1231,1231,32,2
1715,1715,32,2
2889,2889,32,2
16922,16922,32,2
6034,6034,32,2
6573,6573,33,0
671,671,33,0
3827,3827,33,0
4746,4746,33,0
12901,12901,33,0
469,469,33,1
6990,6990,33,1
6012,6012,33,1
13206,13206,33,1
2313,2313,33,2
1195,1195,33,2
831,831,33,2
5329,5329,33,2
24679,24679,34,0
23028,23028,34,0
26163,26163,34,0
11147,11147,34,0
10019,10019,34,0
17912,17912,34,0
3972,3972,34,1
258,258,34,1
7895,7895,34,1
952,952,34,2
13398,13398,34,2
5707,5707,35,0
323,323,35,0
10996,10996,35,0
1394,1394,35,0
5935,5935,35,0
774,774,35,0
3480,3480,35,0
9394,9394,35,0
6506,6506,35,0
9094,9094,35,0
9712,9712,35,0
2730,2730,35,0
6243,6243,35,0
8329,8329,35,0
6976,6976,35,0
2267,2267,35,0
10148,10148,35,0
624,624,35,1
193,193,35,1
9530,9530,35,1
5269,5269,35,1
3631,3631,35,1
7379,7379,35,1
1462,1462,35,1
2740,2740,35,1
3105,3105,35,1
4066,4066,35,1
8409,8409,35,1
1019,1019,35,1
7747,7747,35,1
10060,10060,35,2
6787,6787,35,2
7889,7889,35,2
264,264,35,2
6512,6512,35,2
1089,1089,35,2
6225,6225,35,2
8210,8210,35,2
9137,9137,35,2
4942,4942,35,2
3799,3799,35,2
4300,4300,35,2
5677,5677,35,2
2062,2062,35,2
7481,7481,35,2
3540,3540,35,2
7165,7165,35,2
1364,1364,35,2
5615,5615,36,0
7737,7737,36,0
5957,5957,36,0
2353,2353,36,0
2156,2156,36,1
15898,15898,36,1
5218,5218,36,1
6004,6004,36,1
9844,9844,36,1
15244,15244,36,1
9978,9978,36,1
12883,12883,36,1
14143,14143,36,1
14809,14809,36,1
12608,12608,36,1
5512,5512,36,1
13884,13884,36,1
16317,16317,36,1
13836,13836,36,1
10173,10173,36,1
14304,14304,36,1
7920,7920,36,1
9510,9510,36,1
2511,2511,36,1
13457,13457,36,1
1519,1519,36,2
11746,11746,36,2
13183,13183,36,2
5583,5583,36,2
3221,3221,36,2
12464,12464,36,2
13298,13298,36,2
6670,6670,36,2
4993,4993,36,2
4082,4082,36,2
12315,12315,36,2
14259,14259,37,0
762,762,37,1
9258,9258,37,1
8932,8932,37,1
3744,3744,37,1
7496,7496,37,1
16272,16272,37,1
11885,11885,37,1
9088,9088,37,1
5707,5707,37,1
10760,10760,37,1
5418,5418,37,1
16433,16433,37,1
4741,4741,37,1
12739,12739,37,1
2158,2158,37,1
200,200,37,2
7993,7993,37,2
2265,2265,37,2
7484,7484,37,2
3525,3525,37,2
407,407,37,2
7852,7852,37,2
4291,4291,37,2
10703,10703,38,0
5823,5823,38,0
1150,1150,38,0
6277,6277,38,1
11694,11694,38,1
15009,15009,39,0
13649,13649,39,0
15431,15431,39,0
8958,8958,39,1
16269,16269,39,1
2647,2647,39,1
3697,3697,39,1
11557,11557,39,1
2020,2020,39,1
16430,16430,39,1
1928,1928,39,2
11552,11552,39,2
16955,16955,39,2
14143,14143,39,2
273,273,39,2
8204,8204,39,2
16677,16677,39,2
21104,21104,39,2
15883,15883,39,2
19030,19030,40,0
6987,6987,40,0
13185,13185,40,0
9308,9308,40,0
10720,10720,40,1
1152,1152,40,1
1938,1938,40,2
12022,12022,40,2
12912,12912,40,2
12655,12655,41,0
25706,25706,41,0
24797,24797,41,0
9535,9535,41,0
9245,9245,41,1
9576,9576,41,1
9751,9751,41,1
9426,9426,41,1
8760,8760,41,1
10349,10349,41,1
11223,11223,41,2
6493,6493,41,2
22011,22011,42,0
7623,7623,42,0
8386,8386,42,0
12553,12553,42,1
17326,17326,42,1
19218,19218,42,2
2241,2241,43,0
2659,2659,43,0
5029,5029,43,0
4746,4746,43,1
764,764,43,1
2299,2299,43,1
3009,3009,43,1
7296,7296,43,1
5373,5373,43,2
13743,13743,43,2
20274,20274,43,2
11609,11609,43,2
15503,15503,43,2
18578,18578,43,2
6159,6159,44,1
7343,7343,44,1
