participant,song,id,s,m,start,end
0,1,1599,26.6497335,0.444162225,25.1497335,28.1497335
0,1,6734,112.232211,1.87053685,110.732211,113.732211
0,1,2662,44.366223,0.73943705,42.866223,45.866223
0,1,12680,211.33122,3.522187,209.83122,212.83122
0,1,11749,195.8147085,3.263578475,194.3147085,197.3147085
0,1,12830,213.831195,3.56385325,212.331195,215.331195
0,1,9747,162.4483755,2.707472925,160.9483755,163.9483755
0,1,15359,255.9807735,4.266346225,254.4807735,257.4807735
0,1,9636,160.598394,2.6766399,159.098394,162.098394
0,1,3692,61.532718,1.0255453,60.032718,63.032718
0,1,7420,123.66543,2.0610905,122.16543,125.16543
0,1,14763,246.0475395,4.100792325,244.5475395,247.5475395
0,1,14513,241.8809145,4.031348575,240.3809145,243.3809145
0,1,11377,189.6147705,3.160246175,188.1147705,191.1147705
0,1,7263,121.0487895,2.017479825,119.5487895,122.5487895
0,1,10378,172.964937,2.88274895,171.464937,174.464937
0,1,12168,202.797972,3.3799662,201.297972,204.297972
0,1,12449,207.4812585,3.458020975,205.9812585,208.9812585
0,1,2971,49.5161715,0.825269525,48.0161715,51.0161715
0,1,434,7.233261,0.12055435,5.733261,8.733261
0,1,1948,32.466342,0.5411057,30.966342,33.966342
0,1,4327,72.1159455,1.201932425,70.6159455,73.6159455
0,1,5809,96.8156985,1.613594975,95.3156985,98.3156985
0,1,13493,224.8810845,3.748018075,223.3810845,226.3810845
0,1,14088,234.797652,3.9132942,233.297652,236.297652
0,2,7726,128.765379,2.14608965,127.265379,130.265379
0,2,11360,189.33144,3.155524,187.83144,190.83144
0,2,16868,281.130522,4.6855087,279.630522,282.630522
0,2,17150,285.830475,4.76384125,284.330475,287.330475
0,2,8042,134.031993,2.23386655,132.531993,135.531993
0,2,13853,230.8810245,3.848017075,229.3810245,232.3810245
0,2,12255,204.2479575,3.404132625,202.7479575,205.7479575
0,2,13301,221.6811165,3.694685275,220.1811165,223.1811165
0,2,15790,263.164035,4.38606725,261.664035,264.664035
0,2,13588,226.464402,3.7744067,224.964402,227.964402
0,2,16753,279.2138745,4.653564575,277.7138745,280.7138745
0,2,5596,93.265734,1.5544289,91.765734,94.765734
0,2,14024,233.730996,3.8955166,232.230996,235.230996
0,2,8189,136.4819685,2.274699475,134.9819685,137.9819685
0,2,5389,89.8157685,1.496929475,88.3157685,91.3157685
0,2,15532,258.864078,4.3144013,257.364078,260.364078
0,2,14486,241.430919,4.02384865,239.930919,242.930919
0,2,15438,257.297427,4.28829045,255.797427,258.797427
0,2,16356,272.597274,4.5432879,271.097274,274.097274
0,2,14225,237.0809625,3.951349375,235.5809625,238.5809625
0,2,14652,244.197558,4.0699593,242.697558,245.697558
0,2,8854,147.565191,2.45941985,146.065191,149.065191
0,2,9125,152.0818125,2.534696875,150.5818125,153.5818125
0,2,2070,34.499655,0.57499425,32.999655,35.999655
0,2,16020,266.99733,4.4499555,265.49733,268.49733
0,2,11734,195.564711,3.25941185,194.064711,197.064711
0,2,7579,126.3154035,2.105256725,124.8154035,127.8154035
1,0,288,4.799952,0.0799992,3.299952,6.299952
