id,participant,song,start,end
66,0,2,229.3810245,232.3810245
67,0,2,202.7479575,205.7479575
68,0,2,220.1811165,223.1811165
69,0,2,261.664035,264.664035
70,0,2,224.964402,227.964402
71,0,2,277.7138745,280.7138745
72,0,2,91.765734,94.765734
73,0,2,232.230996,235.230996
74,0,2,134.9819685,137.9819685
75,0,2,88.3157685,91.3157685
76,0,2,257.364078,260.364078
77,0,2,239.930919,242.930919
78,0,2,255.797427,258.797427
79,0,2,271.097274,274.097274
80,0,2,235.5809625,238.5809625
81,0,2,242.697558,245.697558
82,0,2,146.065191,149.065191
83,0,2,150.5818125,153.5818125
84,0,2,32.999655,35.999655
85,0,2,265.49733,268.49733
86,0,2,194.064711,197.064711
87,0,2,124.8154035,127.8154035
88,1,0,3.299952,6.299952
89,1,0,192.9147225,195.9147225
90,1,0,183.1814865,186.1814865
91,1,0,59.5160565,62.5160565
92,1,0,191.864733,194.864733
93,1,0,238.797597,241.797597
94,1,0,191.2480725,194.2480725
95,1,0,242.764224,245.764224
96,1,0,157.698408,160.698408
97,1,0,10.3498815,13.3498815
98,1,0,47.9828385,50.9828385
99,1,0,161.3150385,164.3150385
100,1,0,139.83192,142.83192
101,1,0,103.232286,106.232286
102,1,0,38.999595,41.999595
103,1,1,45.5828625,48.5828625
104,1,1,159.465057,162.465057
105,1,1,99.632322,102.632322
106,1,1,157.6817415,160.6817415
107,1,1,118.565466,121.565466
108,1,1,23.266419,26.266419
109,1,1,165.964992,168.964992
110,1,1,77.3825445,80.3825445
111,1,1,189.031428,192.031428
112,1,1,98.6489985,101.6489985
113,1,1,45.9828585,48.9828585
114,1,1,93.4490505,96.4490505
115,1,1,110.0822175,113.0822175
116,1,1,102.665625,105.665625
117,1,1,94.699038,97.699038
118,1,1,116.9821485,119.9821485
119,1,1,3.7166145,6.7166145
120,1,1,228.5476995,231.5476995
121,1,1,2.6166255,5.6166255
122,1,1,68.7492975,71.7492975
123,1,1,95.232366,98.232366
124,1,1,159.031728,162.031728
125,1,1,119.0821275,122.0821275
126,1,1,78.699198,81.699198
127,1,1,165.5483295,168.5483295
128,1,1,97.199013,100.199013
129,1,1,46.399521,49.399521
130,1,1,178.564866,181.564866
131,1,1,170.7482775,173.7482775
132,1,1,170.3482815,173.3482815
133,1,1,264.897336,267.897336
134,1,1,38.599599,41.599599
135,1,1,94.265709,97.265709
136,1,1,232.897656,235.897656
137,1,1,59.5493895,62.5493895
138,1,1,50.8161435,53.8161435
139,1,1,108.2822355,111.2822355
140,1,1,104.16561,107.16561
141,1,1,179.131527,182.131527
142,1,1,103.6489485,106.6489485
143,1,1,241.0142415,244.0142415
144,1,1,223.864413,226.864413
145,1,1,109.298892,112.298892
146,1,1,159.965052,162.965052
147,1,1,185.664795,188.664795
148,1,1,32.7829905,35.7829905
149,1,1,117.732141,120.732141
150,1,1,141.7485675,144.7485675
151,1,1,96.0490245,99.0490245
152,1,1,158.3484015,161.3484015
153,1,1,162.2483625,165.2483625
154,1,1,118.1488035,121.1488035
155,1,1,103.065621,106.065621
156,1,1,17.8164735,20.8164735
157,1,1,96.599019,99.599019
158,1,2,218.9477955,221.9477955
159,1,2,70.632612,73.632612
160,1,2,92.3490615,95.3490615
161,1,2,162.698358,165.698358
162,1,2,147.0151815,150.0151815
163,1,2,107.632242,110.632242
164,1,2,19.599789,22.599789
165,1,2,106.098924,109.098924
166,1,2,195.0147015,198.0147015
167,1,2,149.2151595,152.2151595
168,1,2,145.7485275,148.7485275
169,1,2,52.699458,55.699458
170,1,2,164.0150115,167.0150115
171,1,2,111.332205,114.332205
